datetime,balance
2021-03-22 06:10:00,103814
2021-03-22 06:05:00,103820
2021-03-22 06:00:00,103640
2021-03-22 05:55:00,103721
2021-03-22 05:50:00,103727
2021-03-22 05:45:00,103509
2021-03-22 05:40:00,103513
2021-03-22 05:35:00,103475
2021-03-22 05:30:00,103411
2021-03-22 05:25:00,103416
2021-03-22 05:20:00,103568
2021-03-22 05:15:00,103614
2021-03-22 05:10:00,103540
2021-03-22 05:05:00,103506
2021-03-22 05:00:00,103684
2021-03-22 04:55:00,103555
2021-03-22 04:50:00,103542
2021-03-22 04:45:00,103723
2021-03-22 04:40:00,103739
2021-03-22 04:35:00,103692
2021-03-22 04:30:00,103851
2021-03-22 04:25:00,103885
2021-03-22 04:20:00,103845
2021-03-22 04:15:00,103691
2021-03-22 04:10:00,103721
2021-03-22 04:05:00,103573
2021-03-22 04:00:00,103635
2021-03-22 03:55:00,103626
2021-03-22 03:50:00,103365
2021-03-22 03:45:00,103427
2021-03-22 03:40:00,103390
2021-03-22 03:35:00,103518
2021-03-22 03:30:00,103412
2021-03-22 03:25:00,103397
2021-03-22 03:20:00,103555
2021-03-22 03:15:00,103303
2021-03-22 03:10:00,103199
2021-03-22 03:05:00,103104
2021-03-22 03:00:00,103061
2021-03-22 02:55:00,103017
2021-03-22 02:50:00,102987
2021-03-22 02:45:00,102992
2021-03-22 02:40:00,102997
2021-03-22 02:35:00,103016
2021-03-22 02:30:00,102966
2021-03-22 02:25:00,102968
2021-03-22 02:20:00,102963
2021-03-22 02:15:00,102672
2021-03-22 02:10:00,102570
2021-03-22 02:05:00,102627
2021-03-22 02:00:00,102675
2021-03-22 01:55:00,102610
2021-03-22 01:50:00,102801
2021-03-22 01:45:00,102650
2021-03-22 01:40:00,102572
2021-03-22 01:35:00,102611
2021-03-22 01:30:00,102532
2021-03-22 01:25:00,102476
2021-03-22 01:20:00,102497
2021-03-22 01:15:00,102674
2021-03-22 01:10:00,102601
2021-03-22 01:05:00,102468
2021-03-22 01:00:00,102685
2021-03-22 00:55:00,102636
2021-03-22 00:50:00,102571
2021-03-22 00:45:00,102712
2021-03-22 00:40:00,102982
2021-03-22 00:35:00,103268
2021-03-22 00:30:00,103189
2021-03-22 00:25:00,103219
2021-03-22 00:20:00,103391
2021-03-22 00:15:00,103427
2021-03-22 00:10:00,103193
2021-03-22 00:05:00,103231
2021-03-22 00:00:00,103527
